x,y,class
0.784722,0.696982,0.0
0.805017,0.785577,0.0
0.793786,0.702231,0.0
0.834529,0.752922,0.0
0.726279,0.712058,0.0
0.791681,0.818659,0.0
0.695975,0.724631,0.0
0.828333,0.760552,0.0
0.665761,0.72985,0.0
0.692099,0.699515,0.0
0.706137,0.816095,0.0
0.767296,0.667135,0.0
0.697104,0.793664,0.0
0.846522,0.752281,0.0
0.729484,0.82165,0.0
0.692557,0.811548,0.0
0.658254,0.750053,0.0
0.654286,0.721183,0.0
0.69689,0.78695,0.0
0.713401,0.670186,0.0
0.664632,0.800439,0.0
0.730796,0.7875,0.0
0.711875,0.816736,0.0
0.696493,0.739921,0.0
0.713065,0.741234,0.0
0.805567,0.767785,0.0
0.676717,0.702719,0.0
0.758263,0.709098,0.0
0.76397,0.744438,0.0
0.654378,0.727836,0.0
0.807611,0.811518,0.0
0.786126,0.830592,0.0
0.770226,0.654653,0.0
0.74752,0.838679,0.0
0.794488,0.773095,0.0
0.783258,0.732871,0.0
0.848201,0.760369,0.0
0.745537,0.671377,0.0
0.735954,0.741691,0.0
0.829951,0.791253,0.0
0.78338,0.722495,0.0
0.720603,0.789392,0.0
0.766625,0.746818,0.0
0.720054,0.760979,0.0
0.731712,0.774102,0.0
0.724967,0.740287,0.0
0.687674,0.71746,0.0
0.723807,0.797113,0.0
0.70452,0.734855,0.0
0.704428,0.762047,0.0
0.733482,0.843471,0.0
0.760949,0.797754,0.0
0.65566,0.779901,0.0
0.841975,0.785669,0.0
0.683096,0.725486,0.0
0.828425,0.81164,0.0
0.769951,0.708426,0.0
0.767052,0.820917,0.0
0.786615,0.760643,0.0
0.683584,0.69509,0.0
0.753655,0.719749,0.0
0.697378,0.757683,0.0
0.734733,0.718375,0.0
0.678976,0.784753,0.0
0.714103,0.748863,0.0
0.732444,0.827723,0.0
0.812769,0.826991,0.0
0.726371,0.717032,0.0
0.721244,0.714103,0.0
0.774071,0.822047,0.0
0.729728,0.694357,0.0
0.787225,0.673513,0.0
0.799127,0.749474,0.0
0.754753,0.672842,0.0
0.804346,0.73159,0.0
0.718589,0.819727,0.0
0.714347,0.83285,0.0
0.759514,0.770928,0.0
0.688681,0.719321,0.0
0.71511,0.694205,0.0
0.68276,0.712455,0.0
0.788629,0.70043,0.0
0.792627,0.830714,0.0
0.802942,0.796045,0.0
0.808496,0.770287,0.0
0.679647,0.759056,0.0
0.709189,0.784539,0.0
0.689901,0.769341,0.0
0.771691,0.684683,0.0
0.832087,0.726737,0.0
0.748192,0.769982,0.0
0.8258,0.692373,0.0
0.715567,0.776391,0.0
0.805994,0.77279,0.0
0.807123,0.677084,0.0
0.717795,0.837062,0.0
0.838618,0.703757,0.0
0.746117,0.766076,0.0
0.736808,0.796442,0.0
0.757256,0.820093,0.0
0.744469,0.757256,0.0
0.688803,0.735527,0.0
0.77398,0.778619,0.0
0.746666,0.729026,0.0
0.650319,0.752953,0.0
0.75457,0.707114,0.0
0.746818,0.779351,0.0
0.791467,0.717399,0.0
0.790002,0.747246,0.0
0.704703,0.722831,0.0
0.816919,0.747368,0.0
0.669027,0.725486,0.0
0.740501,0.784692,0.0
0.727714,0.786218,0.0
0.723899,0.704794,0.0
0.691122,0.703909,0.0
0.695273,0.75811,0.0
0.712394,0.68392,0.0
0.763695,0.739525,0.0
0.816614,0.761864,0.0
0.70455,0.82812,0.0
0.709555,0.683126,0.0
0.785943,0.820063,0.0
0.819391,0.722861,0.0
0.806024,0.698233,0.0
0.797632,0.824763,0.0
0.815821,0.760399,0.0
0.791925,0.662038,0.0
0.797449,0.834498,0.0
0.731101,0.74926,0.0
0.743736,0.659688,0.0
0.659749,0.751579,0.0
0.672048,0.709983,0.0
0.677541,0.692465,0.0
0.739647,0.694021,0.0
0.792993,0.760399,0.0
0.784967,0.735832,0.0
0.801325,0.831935,0.0
0.760704,0.786828,0.0
0.804712,0.729362,0.0
0.77459,0.701193,0.0
0.692709,0.798364,0.0
0.706503,0.718436,0.0
0.729301,0.680074,0.0
0.72161,0.745842,0.0
0.705161,0.747032,0.0
0.793786,0.753441,0.0
0.785363,0.813929,0.0
0.80221,0.819727,0.0
0.82693,0.740532,0.0
0.804743,0.766625,0.0
0.807672,0.750999,0.0
0.702353,0.744926,0.0
0.794702,0.737968,0.0
0.715079,0.666128,0.0
0.751762,0.730796,0.0
0.789361,0.735588,0.0
0.779778,0.812647,0.0
0.690146,0.8052,0.0
0.707541,0.827082,0.0
0.67156,0.793573,0.0
0.832759,0.723045,0.0
0.734916,0.700247,0.0
0.769127,0.822962,0.0
0.675893,0.73806,0.0
0.721732,0.833125,0.0
0.723594,0.720511,0.0
0.824549,0.774682,0.0
0.664266,0.766686,0.0
0.771935,0.793207,0.0
0.665975,0.796777,0.0
0.663228,0.739433,0.0
0.714194,0.688314,0.0
0.753136,0.802393,0.0
0.747185,0.654927,0.0
0.748253,0.841823,0.0
0.83694,0.794183,0.0
0.736839,0.68218,0.0
0.765282,0.767113,0.0
0.762261,0.776116,0.0
0.743797,0.813135,0.0
0.78341,0.73986,0.0
0.773156,0.790735,0.0
0.842555,0.75042,0.0
0.76339,0.708762,0.0
0.755516,0.707236,0.0
0.705191,0.808252,0.0
0.724693,0.844295,0.0
0.795312,0.763695,0.0
0.801019,0.686392,0.0
0.695425,0.81457,0.0
0.728965,0.753105,0.0
0.683645,0.691183,0.0
0.767022,0.810419,0.0
0.724296,0.820551,0.0
0.761834,0.777154,0.0
0.740196,0.754509,0.0
0.65624,0.719657,0.0
0.838557,0.73104,0.0
0.799097,0.732109,0.0
0.709006,0.763237,0.0
0.820063,0.720908,0.0
0.813318,0.779626,0.0
0.746055,0.656514,0.0
0.769524,0.657399,0.0
0.748985,0.821253,0.0
0.801019,0.679037,0.0
0.690512,0.777459,0.0
0.718711,0.789239,0.0
0.736869,0.819452,0.0
0.714835,0.658223,0.0
0.761284,0.672567,0.0
0.827662,0.706656,0.0
0.707053,0.723777,0.0
0.721061,0.794214,0.0
0.715934,0.753929,0.0
0.803095,0.808252,0.0
0.747887,0.755364,0.0
0.668996,0.707236,0.0
0.709067,0.696036,0.0
0.772179,0.735374,0.0
0.674123,0.68508,0.0
0.726524,0.832514,0.0
0.665578,0.797479,0.0
0.694266,0.799921,0.0
0.66863,0.78515,0.0
0.794,0.838069,0.0
0.78341,0.82461,0.0
0.782525,0.734611,0.0
0.708884,0.690207,0.0
0.717917,0.783227,0.0
0.768761,0.779687,0.0
0.718833,0.823176,0.0
0.790796,0.703269,0.0
0.716697,0.67571,0.0
0.737968,0.735862,0.0
0.770959,0.665426,0.0
0.722892,0.716453,0.0
0.65804,0.786859,0.0
0.841578,0.712363,0.0
0.827326,0.744835,0.0
0.77047,0.785394,0.0
0.770104,0.704764,0.0
0.703482,0.696036,0.0
0.673818,0.748833,0.0
0.703299,0.775079,0.0
0.781976,0.763878,0.0
0.68981,0.700247,0.0
0.799524,0.698538,0.0
0.727317,0.834895,0.0
0.796472,0.70217,0.0
0.82989,0.777642,0.0
0.768151,0.720115,0.0
0.823725,0.799158,0.0
0.664327,0.776086,0.0
0.747429,0.73455,0.0
0.822748,0.759178,0.0
0.710623,0.678213,0.0
0.720115,0.812647,0.0
0.671255,0.792444,0.0
0.666219,0.760735,0.0
0.708365,0.710654,0.0
0.827082,0.697745,0.0
0.798578,0.733543,0.0
0.669424,0.701102,0.0
0.794855,0.748039,0.0
0.670217,0.747398,0.0
0.823939,0.803858,0.0
0.760491,0.653066,0.0
0.728263,0.682699,0.0
0.718589,0.677999,0.0
0.744713,0.837458,0.0
0.793878,0.783105,0.0
0.751854,0.79397,0.0
0.690115,0.674856,0.0
0.679342,0.820246,0.0
0.842891,0.761071,0.0
0.761834,0.719321,0.0
0.733757,0.677084,0.0
0.732109,0.835322,0.0
0.723014,0.835414,0.0
0.694266,0.728294,0.0
0.71981,0.808588,0.0
0.823145,0.807703,0.0
0.734031,0.839015,0.0
0.825953,0.767571,0.0
0.758019,0.780389,0.0
0.781579,0.747795,0.0
0.772881,0.702322,0.0
0.838466,0.74337,0.0
0.739006,0.661184,0.0
0.79751,0.822016,0.0
0.703513,0.77459,0.0
0.721793,0.660756,0.0
0.752434,0.658956,0.0
0.676443,0.692892,0.0
0.74105,0.796991,0.0
0.782006,0.837428,0.0
0.801935,0.818079,0.0
0.759606,0.788232,0.0
0.729759,0.684469,0.0
0.668569,0.727775,0.0
0.765191,0.762841,0.0
0.724418,0.672506,0.0
0.795099,0.662343,0.0
0.749474,0.78692,0.0
0.775262,0.732688,0.0
0.742546,0.68337,0.0
0.784417,0.791101,0.0
0.814173,0.697775,0.0
0.749077,0.751457,0.0
0.79577,0.678579,0.0
0.831965,0.704855,0.0
0.772637,0.689596,0.0
0.815668,0.677541,0.0
0.734611,0.840022,0.0
0.768059,0.846919,0.0
0.785943,0.794458,0.0
0.765648,0.725608,0.0
0.7022,0.804621,0.0
0.795862,0.67217,0.0
0.675039,0.811243,0.0
0.697287,0.790979,0.0
0.76397,0.78106,0.0
0.688162,0.677114,0.0
0.718925,0.654988,0.0
