x1,x2,class
0.033513,0.035392,1
0.033646,0.35203,1
0.20149,0.63266,1
0.13119,0.75911,1
0.23606,0.81194,1
0.24709,1.1746,1
0.10247,1.2643,1
0.092797,1.5727,1
0.056714,1.6908,1
0.11151,1.9355,1
0.066555,2.0555,1
0.11477,2.4264,1
0.10823,2.4934,1
0.064906,2.6197,1
0.033429,2.8077,1
0.10481,3.1567,1
0.12672,3.4342,1
0.081081,3.48,1
0.17117,3.7863,1
0.11077,3.8722,1
0.10892,4.0311,1
0.19826,4.3285,1
0.20389,4.4969,1
0.18803,4.8447,1
0.19731,4.873,1
0.12532,5.1481,1
0.1388,5.3428,1
0.15769,5.554,1
0.024497,5.7402,1
0.061419,5.87,1
0.15393,6.038,1
0.07624,6.3833,1
0.19174,6.4099,1
0.066807,6.8004,1
0.0098766,6.9016,1
0.07414,7.2075,1
0.13909,7.4428,1
0.24227,7.5056,1
0.17228,7.6135,1
0.17947,7.9968,1
0.13976,8.1575,1
0.13334,8.3272,1
0.21893,8.5419,1
0.098275,8.6773,1
0.11452,8.9868,1
0.052061,9.0842,1
0.18932,9.4208,1
0.13667,9.4834,1
0.089347,9.799,1
0.17525,10.001,1
0.027306,10.013,1
0.20165,0.10063,1
0.34933,0.4413,1
0.36479,0.50359,1
0.345,0.68263,1
0.42749,0.95909,1
0.359,1.2145,1
0.33139,1.3971,1
0.26491,1.5346,1
0.21279,1.7854,1
0.38299,1.9849,1
0.24107,2.1112,1
0.2701,2.4126,1
0.26486,2.5236,1
0.33677,2.837,1
0.33532,2.9994,1
0.39703,3.0333,1
0.4174,3.2594,1
0.39689,3.4319,1
0.44236,3.7335,1
0.24512,3.8142,1
0.43265,4.1171,1
0.21129,4.4457,1
0.26016,4.5706,1
0.20221,4.8177,1
0.3679,4.9241,1
0.4262,5.0719,1
0.3431,5.2458,1
0.23887,5.6403,1
0.32559,5.7891,1
0.34193,6.0376,1
0.24707,6.1678,1
0.28105,6.2465,1
0.37901,6.4725,1
0.33823,6.6146,1
0.23557,6.811,1
0.29509,7.0699,1
0.29914,7.2426,1
0.34419,7.5693,1
0.20485,7.8256,1
0.3444,7.888,1
0.43305,8.025,1
0.22672,8.3983,1
0.38304,8.5171,1
0.44263,8.7718,1
0.35222,8.9708,1
0.37992,9.1054,1
0.27569,9.3648,1
0.31476,9.5584,1
0.21201,9.7313,1
0.29634,9.8478,1
0.29043,10.128,0
0.4719,0.18708,1
0.60418,0.30496,1
0.51263,0.58437,1
0.60166,0.77162,1
0.59754,1.0389,1
0.47074,1.077,1
0.41708,1.2856,1
0.41373,1.4968,1
0.55938,1.6065,1
0.50607,1.9584,1
0.62638,2.1413,1
0.50433,2.2914,1
0.43851,2.5054,1
0.535,2.7156,1
0.63427,2.8786,1
0.56524,3.0564,1
0.49866,3.229,1
0.46475,3.4335,1
0.61198,3.8366,1
0.63626,3.9231,1
0.49425,4.1871,1
0.41682,4.2777,1
0.4454,4.4019,1
0.54394,4.7539,1
0.44647,4.8894,1
0.47286,5.1622,1
0.51542,5.4115,1
0.48674,5.4253,1
0.47954,5.7471,1
0.51498,5.9456,1
0.45897,6.1305,1
0.40694,6.3136,1
0.56461,6.6417,1
0.4397,6.6456,1
0.60067,6.9398,1
0.50214,7.1566,1
0.48185,7.2075,1
0.5865,7.5606,1
0.58659,7.8095,1
0.44349,7.8988,1
0.42939,8.1093,1
0.44351,8.2212,1
0.55685,8.5453,1
0.61047,8.8179,1
0.52752,8.8517,1
0.44144,9.0237,1
0.57858,9.247,1
0.62676,9.567,1
0.45463,9.7831,1
0.61774,9.9578,0
0.45296,10.117,0
0.80917,0.078591,1
0.81483,0.36037,1
0.73084,0.54051,1
0.71934,0.76593,1
0.82247,0.83122,1
0.61627,1.1685,1
0.72736,1.3701,1
0.7552,1.6325,1
0.78339,1.8072,1
0.6575,1.8445,1
0.60547,2.2373,1
0.63475,2.2499,1
0.79238,2.4544,1
0.84244,2.6021,1
0.6967,2.8752,1
0.84836,3.0686,1
0.6816,3.3466,1
0.63429,3.4991,1
0.69619,3.6466,1
0.74066,3.8982,1
0.75846,4.0386,1
0.7354,4.4081,1
0.67875,4.4374,1
0.63983,4.7699,1
0.63815,4.9875,1
0.63424,5.0037,1
0.77745,5.2356,1
0.71622,5.4077,1
0.62832,5.8022,1
0.77522,5.8118,1
0.645,6.1665,1
0.80092,6.314,1
0.72849,6.6007,1
0.73711,6.6896,1
0.65196,6.8063,1
0.79615,7.0546,1
0.73162,7.3777,1
0.74276,7.5372,1
0.70551,7.8174,1
0.78029,7.9847,1
0.61828,8.0258,1
0.74872,8.4429,1
0.81549,8.5847,1
0.7122,8.6035,1
0.76314,8.9698,1
0.67587,9.1214,1
0.75186,9.2087,1
0.66973,9.4286,1
0.79989,9.6192,0
0.79904,9.952,0
0.83852,10.058,0
0.91108,0.035503,1
0.91422,0.33254,1
0.94995,0.63258,1
1.0107,0.75423,1
0.8078,0.97247,1
0.84682,1.0586,1
1.0359,1.2517,1
1.037,1.4093,1
0.91325,1.7658,1
1.0027,1.9268,1
1.0322,2.1215,1
0.96818,2.4154,1
0.89308,2.6414,1
0.90142,2.7899,1
0.90971,2.8617,1
0.96966,3.1691,1
0.91627,3.3898,1
1.0383,3.5465,1
0.88867,3.8056,1
0.88476,4.0317,1
1.024,4.1594,1
0.93636,4.2047,1
0.98732,4.4461,1
0.83122,4.6067,1
0.91331,5.0337,1
0.81869,5.1211,1
0.96584,5.3987,1
0.97591,5.5142,1
1.0297,5.7236,1
0.96502,5.9064,1
0.97253,6.2229,1
1.0134,6.4186,1
0.91698,6.5583,1
0.91462,6.6731,1
1.0015,6.8729,1
1.0062,7.0614,1
0.84761,7.3761,1
0.80642,7.5937,1
0.8142,7.8057,1
0.83573,8.0015,1
0.84285,8.0634,1
0.95646,8.4001,1
0.80738,8.5574,1
0.91808,8.6579,1
0.96961,8.8953,1
0.8287,9.1133,1
0.85902,9.3251,1
