x,y,class
0.800317,0.712302,0.0
0.807489,0.687399,0.0
0.670156,0.784967,0.0
0.68157,0.769799,0.0
0.700308,0.746605,0.0
0.821711,0.73516,0.0
0.754662,0.747581,0.0
0.757897,0.716514,0.0
0.777276,0.71279,0.0
0.70983,0.693136,0.0
0.819666,0.788018,0.0
0.738182,0.834834,0.0
0.726432,0.76632,0.0
0.728263,0.69866,0.0
0.846644,0.749809,0.0
0.699271,0.785028,0.0
0.683004,0.754204,0.0
0.763176,0.67272,0.0
0.737053,0.66863,0.0
0.724876,0.713248,0.0
0.763909,0.845454,0.0
0.752312,0.780999,0.0
0.77926,0.65862,0.0
0.795618,0.818903,0.0
0.738243,0.684591,0.0
0.725791,0.836879,0.0
0.746239,0.849055,0.0
0.796319,0.8146,0.0
0.814142,0.757927,0.0
0.761254,0.69805,0.0
0.766381,0.719016,0.0
0.664327,0.77691,0.0
0.806452,0.724601,0.0
0.813135,0.754204,0.0
0.809351,0.699087,0.0
0.841029,0.741752,0.0
0.837672,0.77456,0.0
0.700125,0.758293,0.0
0.756676,0.770348,0.0
0.704764,0.769005,0.0
0.741478,0.727866,0.0
0.813257,0.772485,0.0
0.816004,0.677938,0.0
0.835536,0.71337,0.0
0.705344,0.753777,0.0
0.744072,0.749413,0.0
0.7828,0.744774,0.0
0.700186,0.677206,0.0
0.774895,0.690664,0.0
0.748772,0.703452,0.0
0.708274,0.726463,0.0
0.718375,0.789026,0.0
0.766655,0.655141,0.0
0.73632,0.799921,0.0
0.699881,0.742149,0.0
0.81457,0.820582,0.0
0.740287,0.728202,0.0
0.806696,0.777367,0.0
0.74868,0.656667,0.0
0.817286,0.685659,0.0
0.741356,0.717734,0.0
0.70043,0.768517,0.0
0.813837,0.787469,0.0
0.827692,0.732963,0.0
0.724479,0.685324,0.0
0.769951,0.715079,0.0
0.756737,0.774682,0.0
0.775414,0.835444,0.0
0.797632,0.799432,0.0
0.802149,0.766137,0.0
0.760735,0.667684,0.0
0.814051,0.815241,0.0
0.701834,0.73513,0.0
0.75927,0.776879,0.0
0.771905,0.774163,0.0
0.747978,0.70809,0.0
0.804621,0.828425,0.0
0.780267,0.716514,0.0
0.702048,0.704337,0.0
0.695364,0.78637,0.0
0.845637,0.755974,0.0
0.706565,0.768761,0.0
0.78927,0.760826,0.0
0.694998,0.821162,0.0
0.724937,0.772301,0.0
0.683279,0.777367,0.0
0.843898,0.750969,0.0
0.787378,0.708121,0.0
0.810297,0.793329,0.0
0.806482,0.812464,0.0
0.787835,0.702567,0.0
0.83224,0.797662,0.0
0.799982,0.786767,0.0
0.701132,0.820185,0.0
0.746208,0.747246,0.0
0.703665,0.749901,0.0
0.83816,0.746391,0.0
0.787042,0.789453,0.0
0.780267,0.741325,0.0
0.751213,0.663778,0.0
0.696524,0.812189,0.0
0.815027,0.728324,0.0
0.763634,0.835383,0.0
0.74218,0.72515,0.0
0.805963,0.71218,0.0
0.780816,0.681906,0.0
0.817347,0.763543,0.0
0.767571,0.719779,0.0
0.663778,0.750023,0.0
0.797754,0.7369,0.0
0.687704,0.740928,0.0
0.741935,0.720023,0.0
0.673208,0.753227,0.0
0.782067,0.79104,0.0
0.815912,0.74691,0.0
0.806665,0.686453,0.0
0.777123,0.79751,0.0
0.794397,0.714011,0.0
0.681692,0.726218,0.0
0.778466,0.680105,0.0
0.663686,0.738334,0.0
0.691916,0.799768,0.0
0.779901,0.717032,0.0
0.736564,0.784265,0.0
0.660085,0.778039,0.0
0.803919,0.752159,0.0
0.703024,0.829768,0.0
0.833918,0.768029,0.0
0.654927,0.738426,0.0
0.747276,0.847957,0.0
0.693533,0.801813,0.0
0.731651,0.709128,0.0
0.725883,0.826472,0.0
0.829737,0.727683,0.0
0.713614,0.754997,0.0
0.781518,0.751122,0.0
0.828059,0.739586,0.0
0.684988,0.788415,0.0
0.780908,0.803522,0.0
0.834529,0.698782,0.0
0.824915,0.722556,0.0
0.669027,0.783227,0.0
0.696341,0.784997,0.0
0.762902,0.683157,0.0
0.681295,0.704917,0.0
0.779809,0.729087,0.0
0.699087,0.700552,0.0
0.689138,0.740776,0.0
0.731895,0.82931,0.0
0.667318,0.724998,0.0
0.77459,0.826441,0.0
0.669942,0.763787,0.0
0.675069,0.718162,0.0
0.82577,0.741203,0.0
0.760521,0.727653,0.0
0.717551,0.661275,0.0
0.80578,0.668783,0.0
0.734214,0.656148,0.0
0.743431,0.768914,0.0
0.79049,0.835475,0.0
0.776788,0.718253,0.0
0.79754,0.77398,0.0
0.79577,0.676595,0.0
0.747398,0.806757,0.0
0.700034,0.770623,0.0
0.772942,0.843135,0.0
0.671621,0.765007,0.0
0.755242,0.766564,0.0
0.788171,0.684256,0.0
0.717826,0.661336,0.0
0.837031,0.777978,0.0
0.675649,0.769127,0.0
0.680471,0.817713,0.0
0.709037,0.820704,0.0
0.711661,0.692618,0.0
0.665029,0.71926,0.0
0.710623,0.835658,0.0
0.827296,0.800653,0.0
0.800592,0.795984,0.0
0.726157,0.788293,0.0
0.744499,0.72103,0.0
0.691092,0.776269,0.0
0.727195,0.769738,0.0
0.75811,0.749474,0.0
0.65569,0.72335,0.0
0.7257,0.790399,0.0
0.670827,0.729026,0.0
0.820948,0.813318,0.0
0.686453,0.752525,0.0
0.674612,0.72631,0.0
0.820063,0.771996,0.0
0.758843,0.747887,0.0
0.789392,0.803064,0.0
0.833491,0.704031,0.0
0.737846,0.684317,0.0
0.674459,0.81106,0.0
0.807123,0.829493,0.0
0.708914,0.814783,0.0
0.787255,0.660298,0.0
0.715781,0.691916,0.0
0.711844,0.724204,0.0
0.809595,0.697714,0.0
0.705832,0.750175,0.0
0.770013,0.697867,0.0
0.694082,0.750999,0.0
0.669759,0.804437,0.0
0.733543,0.665242,0.0
0.746605,0.663625,0.0
0.770196,0.82931,0.0
0.804285,0.780877,0.0
0.721305,0.774377,0.0
0.807306,0.780236,0.0
0.744438,0.787927,0.0
0.711356,0.740196,0.0
0.682516,0.730705,0.0
0.697348,0.701224,0.0
0.739372,0.795801,0.0
0.772546,0.666005,0.0
0.749565,0.75399,0.0
0.737266,0.698965,0.0
0.79989,0.722465,0.0
0.778741,0.707816,0.0
0.734794,0.742912,0.0
0.724967,0.702811,0.0
0.755089,0.728263,0.0
0.722587,0.820276,0.0
0.811274,0.73867,0.0
0.817743,0.6957,0.0
0.712088,0.684072,0.0
0.803858,0.720298,0.0
0.748375,0.752709,0.0
0.765313,0.656667,0.0
0.773156,0.724479,0.0
0.658864,0.769494,0.0
0.771752,0.83224,0.0
0.733818,0.687826,0.0
0.65801,0.743706,0.0
0.791742,0.825373,0.0
0.78695,0.767418,0.0
0.837001,0.788965,0.0
0.674886,0.801843,0.0
0.820704,0.774651,0.0
0.823237,0.81164,0.0
0.804682,0.710959,0.0
0.838221,0.708548,0.0
0.701254,0.800531,0.0
0.809992,0.755791,0.0
0.693899,0.714591,0.0
0.730064,0.671316,0.0
0.755882,0.74041,0.0
0.657338,0.725517,0.0
0.711478,0.715659,0.0
0.825953,0.713431,0.0
0.762383,0.815271,0.0
0.789026,0.77456,0.0
0.738212,0.833888,0.0
0.6816,0.724235,0.0
0.765893,0.717795,0.0
0.774712,0.810755,0.0
0.678274,0.766839,0.0
0.703604,0.709799,0.0
0.697409,0.771081,0.0
0.81988,0.759697,0.0
0.789422,0.670858,0.0
0.786401,0.694784,0.0
0.844478,0.766991,0.0
0.707022,0.674856,0.0
0.711051,0.754112,0.0
0.824427,0.800134,0.0
0.738487,0.760033,0.0
0.702841,0.837519,0.0
0.753136,0.67925,0.0
0.758446,0.717521,0.0
0.753594,0.702719,0.0
0.777001,0.8081,0.0
0.733665,0.830134,0.0
0.837611,0.731834,0.0
0.690512,0.728538,0.0
0.816309,0.823054,0.0
0.752251,0.812037,0.0
0.814783,0.706534,0.0
0.766869,0.81457,0.0
0.729942,0.78811,0.0
0.701163,0.817408,0.0
0.759636,0.71218,0.0
0.748131,0.653523,0.0
0.704093,0.816279,0.0
0.706626,0.736869,0.0
0.772912,0.781365,0.0
0.818598,0.68395,0.0
0.736534,0.693289,0.0
0.803919,0.677114,0.0
0.838038,0.717795,0.0
0.66979,0.713706,0.0
0.759667,0.73159,0.0
0.787164,0.705985,0.0
0.803797,0.790185,0.0
0.79812,0.783258,0.0
0.689688,0.770806,0.0
0.79107,0.749413,0.0
0.750023,0.849666,0.0
0.741874,0.769829,0.0
0.748955,0.673055,0.0
0.772973,0.738182,0.0
0.698019,0.7528,0.0
0.790185,0.763695,0.0
0.750053,0.657918,0.0
0.761864,0.759514,0.0
0.778771,0.829554,0.0
0.736473,0.726707,0.0
0.753319,0.849666,0.0
0.801782,0.686483,0.0
0.792932,0.746544,0.0
0.697073,0.705283,0.0
0.789392,0.727622,0.0
0.695395,0.78222,0.0
0.824641,0.758843,0.0
0.710929,0.669271,0.0
0.743248,0.737358,0.0
0.769341,0.673971,0.0
0.683615,0.694113,0.0
0.792627,0.739769,0.0
0.708762,0.747948,0.0
0.827357,0.724357,0.0
0.65099,0.751518,0.0
0.702353,0.713004,0.0
0.693808,0.769127,0.0
0.765923,0.808954,0.0
0.777123,0.752922,0.0
0.717399,0.842647,0.0
0.810816,0.806269,0.0
0.752403,0.691641,0.0
0.808557,0.771172,0.0
0.746971,0.676717,0.0
0.848933,0.741417,0.0
0.710166,0.77929,0.0
0.827174,0.703726,0.0
0.681265,0.705161,0.0
0.819605,0.702902,0.0
0.775964,0.771508,0.0
0.714225,0.722434,0.0
0.83285,0.709738,0.0
0.755119,0.789026,0.0
0.764733,0.70275,0.0
0.73394,0.82754,0.0
0.733787,0.74279,0.0
0.691244,0.761742,0.0
0.726798,0.729759,0.0
0.708945,0.673605,0.0
0.710776,0.694235,0.0
0.742485,0.783288,0.0
0.847926,0.751885,0.0
0.780419,0.801569,0.0
0.702963,0.789758,0.0
0.737053,0.829218,0.0
0.769799,0.683798,0.0
0.668294,0.785424,0.0
0.748222,0.824091,0.0
0.739738,0.773919,0.0
0.812403,0.758171,0.0
0.787347,0.68157,0.0
0.834925,0.768761,0.0
0.708457,0.712943,0.0
0.739189,0.787896,0.0
0.847987,0.737175,0.0
0.769921,0.829829,0.0
0.764306,0.658498,0.0
0.78872,0.790368,0.0
0.698508,0.681112,0.0
0.718772,0.685171,0.0
0.7687,0.729637,0.0
0.668325,0.707694,0.0
0.673025,0.735496,0.0
0.7163,0.691397,0.0
0.79104,0.795648,0.0
0.774895,0.755608,0.0
0.803827,0.803522,0.0
0.683584,0.796747,0.0
0.745415,0.737175,0.0
0.755089,0.663839,0.0
0.74926,0.67272,0.0
0.805383,0.787347,0.0
0.812708,0.756981,0.0
0.69396,0.776574,0.0
0.75866,0.76809,0.0
0.70925,0.807642,0.0
0.845088,0.721915,0.0
0.689077,0.795618,0.0
0.824427,0.764672,0.0
0.743461,0.719443,0.0
0.790094,0.751061,0.0
0.766045,0.713187,0.0
0.788965,0.690909,0.0
0.739189,0.699576,0.0
0.687582,0.793054,0.0
0.688345,0.74984,0.0
0.776696,0.795343,0.0
0.760308,0.772485,0.0
0.740989,0.664022,0.0
0.82049,0.687338,0.0
0.818476,0.816279,0.0
0.730338,0.838374,0.0
0.797021,0.661824,0.0
0.752586,0.848048,0.0
0.798975,0.78515,0.0
0.787774,0.771966,0.0
0.741966,0.782037,0.0
0.739921,0.804773,0.0
0.782708,0.822352,0.0
0.668844,0.76458,0.0
0.702841,0.794671,0.0
0.822474,0.757439,0.0
0.696432,0.734733,0.0
0.807428,0.791192,0.0
0.686087,0.730674,0.0
0.709067,0.742973,0.0
0.785943,0.763695,0.0
0.668508,0.709159,0.0
0.681539,0.748619,0.0
0.781426,0.68157,0.0
0.767693,0.679586,0.0
0.782739,0.668477,0.0
0.699728,0.674917,0.0
0.68685,0.785699,0.0
0.714896,0.656972,0.0
0.804773,0.807489,0.0
0.730094,0.831904,0.0
0.721152,0.730613,0.0
0.762841,0.839717,0.0
0.790124,0.781152,0.0
0.801874,0.7322,0.0
0.697501,0.804743,0.0
0.830042,0.777917,0.0
0.708396,0.786493,0.0
0.727805,0.776086,0.0
0.755058,0.828028,0.0
0.681417,0.696005,0.0
