"","x","y","class"
"1",0.85,17.45,2
"2",0.75,15.6,2
"3",3.3,15.45,2
"4",5.25,14.2,2
"5",4.9,15.65,2
"6",5.35,15.85,2
"7",5.1,17.9,2
"8",4.6,18.25,2
"9",4.05,18.75,2
"10",3.4,19.7,2
"11",2.9,21.15,2
"12",3.1,21.85,2
"13",3.9,21.85,2
"14",4.4,20.05,2
"15",7.2,14.5,2
"16",7.65,16.5,2
"17",7.1,18.65,2
"18",7.05,19.9,2
"19",5.85,20.55,2
"20",5.5,21.8,2
"21",6.55,21.8,2
"22",6.05,22.3,2
"23",5.2,23.4,2
"24",4.55,23.9,2
"25",5.1,24.4,2
"26",8.1,26.35,2
"27",10.15,27.7,2
"28",9.75,25.5,2
"29",9.2,21.1,2
"30",11.2,22.8,2
"31",12.6,23.1,2
"32",13.25,23.5,2
"33",11.65,26.85,2
"34",12.45,27.55,2
"35",13.3,27.85,2
"36",13.7,27.75,2
"37",14.15,26.9,2
"38",14.05,26.55,2
"39",15.15,24.2,2
"40",15.2,24.75,2
"41",12.2,20.9,2
"42",12.15,21.45,2
"43",12.75,22.05,2
"44",13.15,21.85,2
"45",13.75,22,2
"46",13.95,22.7,2
"47",14.4,22.65,2
"48",14.2,22.15,2
"49",14.1,21.75,2
"50",14.05,21.4,2
"51",17.2,24.8,2
"52",17.7,24.85,2
"53",17.55,25.2,2
"54",17,26.85,2
"55",16.55,27.1,2
"56",19.15,25.35,2
"57",18.8,24.7,2
"58",21.4,25.85,2
"59",15.8,21.35,2
"60",16.6,21.15,2
"61",17.45,20.75,2
"62",18,20.95,2
"63",18.25,20.2,2
"64",18,22.3,2
"65",18.6,22.25,2
"66",19.2,21.95,2
"67",19.45,22.1,2
"68",20.1,21.6,2
"69",20.1,20.9,2
"70",19.9,20.35,2
"71",19.45,19.05,2
"72",19.25,18.7,2
"73",21.3,22.3,2
"74",22.9,23.65,2
"75",23.15,24.1,2
"76",24.25,22.85,2
"77",22.05,20.25,2
"78",20.95,18.25,2
"79",21.65,17.25,2
"80",21.55,16.7,2
"81",21.6,16.3,2
"82",21.5,15.5,2
"83",22.4,16.5,2
"84",22.25,18.1,2
"85",23.15,19.05,2
"86",23.5,19.8,2
"87",23.75,20.2,2
"88",25.15,19.8,2
"89",25.5,19.45,2
"90",23,18,2
"91",23.95,17.75,2
"92",25.9,17.55,2
"93",27.65,15.65,2
"94",23.1,14.6,2
"95",23.5,15.2,2
"96",24.05,14.9,2
"97",24.5,14.7,2
"98",14.15,17.35,1
"99",14.3,16.8,1
"100",14.3,15.75,1
"101",14.75,15.1,1
"102",15.35,15.5,1
"103",15.95,16.45,1
"104",16.5,17.05,1
"105",17.35,17.05,1
"106",17.15,16.3,1
"107",16.65,16.1,1
"108",16.5,15.15,1
"109",16.25,14.95,1
"110",16,14.25,1
"111",15.9,13.2,1
"112",15.15,12.05,1
"113",15.2,11.7,1
"114",17,15.65,1
"115",16.9,15.35,1
"116",17.35,15.45,1
"117",17.15,15.1,1
"118",17.3,14.9,1
"119",17.7,15,1
"120",17,14.6,1
"121",16.85,14.3,1
"122",16.6,14.05,1
"123",17.1,14,1
"124",17.45,14.15,1
"125",17.8,14.2,1
"126",17.6,13.85,1
"127",17.2,13.5,1
"128",17.25,13.15,1
"129",17.1,12.75,1
"130",16.95,12.35,1
"131",16.5,12.2,1
"132",16.25,12.5,1
"133",16.05,11.9,1
"134",16.65,10.9,1
"135",16.7,11.4,1
"136",16.95,11.25,1
"137",17.3,11.2,1
"138",18.05,11.9,1
"139",18.6,12.5,1
"140",18.9,12.05,1
"141",18.7,11.25,1
"142",17.95,10.9,1
"143",18.4,10.05,1
"144",17.45,10.4,1
"145",17.6,10.15,1
"146",17.7,9.85,1
"147",17.3,9.7,1
"148",16.95,9.7,1
"149",16.75,9.65,1
"150",19.8,9.95,1
"151",19.1,9.55,1
"152",17.5,8.3,1
"153",17.55,8.1,1
"154",17.85,7.55,1
"155",18.2,8.35,1
"156",19.3,9.1,1
"157",19.4,8.85,1
"158",19.05,8.85,1
"159",18.9,8.5,1
"160",18.6,7.85,1
"161",18.7,7.65,1
"162",19.35,8.2,1
"163",19.95,8.3,1
"164",20,8.9,1
"165",20.3,8.9,1
"166",20.55,8.8,1
"167",18.35,6.95,1
"168",18.65,6.9,1
"169",19.3,7,1
"170",19.1,6.85,1
"171",19.15,6.65,1
"172",21.2,8.8,1
"173",21.4,8.8,1
"174",21.1,8,1
"175",20.4,7,1
"176",20.5,6.35,1
"177",20.1,6.05,1
"178",20.45,5.15,1
"179",20.95,5.55,1
"180",20.95,6.2,1
"181",20.9,6.6,1
"182",21.05,7,1
"183",21.85,8.5,1
"184",21.9,8.2,1
"185",22.3,7.7,1
"186",21.85,6.65,1
"187",21.3,5.05,1
"188",22.6,6.7,1
"189",22.5,6.15,1
"190",23.65,7.2,1
"191",24.1,7,1
"192",21.95,4.8,1
"193",22.15,5.05,1
"194",22.45,5.3,1
"195",22.45,4.9,1
"196",22.7,5.5,1
"197",23,5.6,1
"198",23.2,5.3,1
"199",23.45,5.95,1
"200",23.75,5.95,1
"201",24.45,6.15,1
"202",24.6,6.45,1
"203",25.2,6.55,1
"204",26.05,6.4,1
"205",25.3,5.75,1
"206",24.35,5.35,1
"207",23.3,4.9,1
"208",22.95,4.75,1
"209",22.4,4.55,1
"210",22.8,4.1,1
"211",22.9,4,1
"212",23.25,3.85,1
"213",23.45,3.6,1
"214",23.55,4.2,1
"215",23.8,3.65,1
"216",23.8,4.75,1
"217",24.2,4,1
"218",24.55,4,1
"219",24.7,3.85,1
"220",24.7,4.3,1
"221",24.9,4.75,1
"222",26.4,5.7,1
"223",27.15,5.95,1
"224",27.3,5.45,1
"225",27.5,5.45,1
"226",27.55,5.1,1
"227",26.85,4.95,1
"228",26.6,4.9,1
"229",26.85,4.4,1
"230",26.2,4.4,1
"231",26,4.25,1
"232",25.15,4.1,1
"233",25.6,3.9,1
"234",25.85,3.6,1
"235",24.95,3.35,1
"236",25.1,3.25,1
"237",25.45,3.15,1
"238",26.85,2.95,1
"239",27.15,3.15,1
"240",27.2,3,1
"241",27.95,3.25,1
"242",27.95,3.5,1
"243",28.8,4.05,1
"244",28.8,4.7,1
"245",28.75,5.45,1
"246",28.6,5.75,1
"247",29.25,6.3,1
"248",30,6.55,1
"249",30.6,3.4,1
"250",30.05,3.45,1
"251",29.75,3.45,1
"252",29.2,4,1
"253",29.45,4.05,1
"254",29.05,4.55,1
"255",29.4,4.85,1
"256",29.5,4.7,1
"257",29.9,4.45,1
"258",30.75,4.45,1
"259",30.4,4.05,1
"260",30.8,3.95,1
"261",31.05,3.95,1
"262",30.9,5.2,1
"263",30.65,5.85,1
"264",30.7,6.15,1
"265",31.5,6.25,1
"266",31.65,6.55,1
"267",32,7,1
"268",32.5,7.95,1
"269",33.35,7.45,1
"270",32.6,6.95,1
"271",32.65,6.6,1
"272",32.55,6.35,1
"273",32.35,6.1,1
"274",32.55,5.8,1
"275",32.2,5.05,1
"276",32.35,4.25,1
"277",32.9,4.15,1
"278",32.7,4.6,1
"279",32.75,4.85,1
"280",34.1,4.6,1
"281",34.1,5,1
"282",33.6,5.25,1
"283",33.35,5.65,1
"284",33.75,5.95,1
"285",33.4,6.2,1
"286",34.45,5.8,1
"287",34.65,5.65,1
"288",34.65,6.25,1
"289",35.25,6.25,1
"290",34.35,6.8,1
"291",34.1,7.15,1
"292",34.45,7.3,1
"293",34.7,7.2,1
"294",34.85,7,1
"295",34.35,7.75,1
"296",34.55,7.85,1
"297",35.05,8,1
"298",35.5,8.05,1
"299",35.8,7.1,1
"300",36.6,6.7,1
"301",36.75,7.25,1
"302",36.5,7.4,1
"303",35.95,7.9,1
"304",36.1,8.1,1
"305",36.15,8.4,1
"306",37.6,7.35,1
"307",37.9,7.65,1
"308",29.15,4.4,1
"309",34.9,9,1
"310",35.3,9.4,1
"311",35.9,9.35,1
"312",36,9.65,1
"313",35.75,10,1
"314",36.7,9.15,1
"315",36.6,9.8,1
"316",36.9,9.75,1
"317",37.25,10.15,1
"318",36.4,10.15,1
"319",36.3,10.7,1
"320",36.75,10.85,1
"321",38.15,9.7,1
"322",38.4,9.45,1
"323",38.35,10.5,1
"324",37.7,10.8,1
"325",37.45,11.15,1
"326",37.35,11.4,1
"327",37,11.75,1
"328",36.8,12.2,1
"329",37.15,12.55,1
"330",37.25,12.15,1
"331",37.65,11.95,1
"332",37.95,11.85,1
"333",38.6,11.75,1
"334",38.5,12.2,1
"335",38,12.95,1
"336",37.3,13,1
"337",37.5,13.4,1
"338",37.85,14.5,1
"339",38.3,14.6,1
"340",38.05,14.45,1
"341",38.35,14.35,1
"342",38.5,14.25,1
"343",39.3,14.2,1
"344",39,13.2,1
"345",38.95,12.9,1
"346",39.2,12.35,1
"347",39.5,11.8,1
"348",39.55,12.3,1
"349",39.75,12.75,1
"350",40.2,12.8,1
"351",40.4,12.05,1
"352",40.45,12.5,1
"353",40.55,13.15,1
"354",40.45,14.5,1
"355",40.2,14.8,1
"356",40.65,14.9,1
"357",40.6,15.25,1
"358",41.3,15.3,1
"359",40.95,15.7,1
"360",41.25,16.8,1
"361",40.95,17.05,1
"362",40.7,16.45,1
"363",40.45,16.3,1
"364",39.9,16.2,1
"365",39.65,16.2,1
"366",39.25,15.5,1
"367",38.85,15.5,1
"368",38.3,16.5,1
"369",38.75,16.85,1
"370",39,16.6,1
"371",38.25,17.35,1
"372",39.5,16.95,1
"373",39.9,17.05,1
