"","x","y","class"
"1",11.25,5.05,1
"2",10.95,4.7,1
"3",9.85,5.8,1
"4",9.8,5.75,1
"5",9.15,6.8,1
"6",8.65,6.6,1
"7",8.4,7.5,1
"8",7.9,7.75,1
"9",6.95,8.7,1
"10",7.25,9.75,1
"11",7.3,10.25,1
"12",5.9,10.7,1
"13",5.85,11.8,1
"14",6.45,12.05,1
"15",5.7,12.95,1
"16",5.35,13.45,1
"17",5.4,14.65,1
"18",4.7,14.85,1
"19",5.4,15.4,1
"20",5.1,16.25,1
"21",5.75,16.7,1
"22",4.85,17.65,1
"23",5,18,1
"24",6.05,18,1
"25",5.7,19.45,1
"26",5.3,19.55,1
"27",5.85,21.25,1
"28",6.1,21.35,1
"29",6.55,22.15,1
"30",5.9,22.8,1
"31",7.15,23.7,1
"32",6.75,24.25,1
"33",7.95,24.65,1
"34",7.75,25.3,1
"35",8.8,26.05,1
"36",8.85,26.95,1
"37",9.35,27.45,1
"38",9.95,27.1,1
"39",11.25,28.2,1
"40",10.7,28.55,1
"41",11.95,29.45,1
"42",11.95,28.65,1
"43",13.1,30.05,1
"44",13.4,29.3,1
"45",14.7,30.2,1
"46",14.7,30.6,1
"47",16.1,30.4,1
"48",16.1,31.05,1
"49",17.55,30.8,1
"50",17.65,31.75,1
"51",18.55,31.6,1
"52",18.85,30.6,1
"53",19.85,30.9,1
"54",20.1,31.3,1
"55",21.5,31.35,1
"56",20.85,30.4,1
"57",22.95,30.05,1
"58",23.4,30.3,1
"59",24.2,29.9,1
"60",24.75,30,1
"61",25.55,29.3,1
"62",25.55,28.45,1
"63",26.7,28.3,1
"64",26.85,28.75,1
"65",27.6,27.15,1
"66",28.25,27.4,1
"67",29.05,27,1
"68",29.05,26.2,1
"69",29.45,25.55,1
"70",30.05,25.55,1
"71",30.3,23.3,1
"72",30.6,23.95,1
"73",30.9,22.75,1
"74",31,22.3,1
"75",30.65,21.3,1
"76",31.3,20.8,1
"77",31.85,21.2,1
"78",31.45,19.3,1
