"","x","y","class"
"1",31.95,7.95,3
"2",31.15,7.3,3
"3",30.45,6.65,3
"4",29.7,6,3
"5",28.9,5.55,3
"6",28.05,5,3
"7",27.2,4.55,3
"8",26.35,4.15,3
"9",25.4,3.85,3
"10",24.6,3.6,3
"11",23.6,3.3,3
"12",22.75,3.15,3
"13",21.85,3.05,3
"14",20.9,3,3
"15",20,2.9,3
"16",19.1,3,3
"17",18.2,3.2,3
"18",17.3,3.25,3
"19",16.55,3.5,3
"20",15.7,3.7,3
"21",14.85,4.1,3
"22",14.15,4.4,3
"23",13.4,4.75,3
"24",12.7,5.2,3
"25",12.05,5.65,3
"26",11.45,6.15,3
"27",10.9,6.65,3
"28",10.3,7.25,3
"29",9.7,7.85,3
"30",9.35,8.35,3
"31",8.9,9.05,3
"32",8.55,9.65,3
"33",8.15,10.35,3
"34",7.95,10.95,3
"35",7.75,11.7,3
"36",7.55,12.35,3
"37",7.45,13,3
"38",7.35,13.75,3
"39",7.3,14.35,3
"40",7.35,14.95,3
"41",7.35,15.75,3
"42",7.55,16.35,3
"43",7.7,16.95,3
"44",7.8,17.55,3
"45",8.05,18.15,3
"46",8.3,18.75,3
"47",8.65,19.3,3
"48",8.9,19.85,3
"49",9.3,20.3,3
"50",9.65,20.8,3
"51",10.2,21.25,3
"52",10.6,21.65,3
"53",11.1,22.15,3
"54",11.55,22.45,3
"55",11.95,22.7,3
"56",12.55,23,3
"57",13.05,23.2,3
"58",13.45,23.4,3
"59",14,23.55,3
"60",14.55,23.6,3
"61",15.1,23.75,3
"62",15.7,23.75,3
"63",16.15,23.85,3
"64",16.7,23.8,3
"65",17.15,23.75,3
"66",17.75,23.75,3
"67",18.2,23.6,3
"68",18.65,23.5,3
"69",19.1,23.35,3
"70",19.6,23.15,3
"71",20,22.95,3
"72",20.4,22.7,3
"73",20.7,22.55,3
"74",21,22.15,3
"75",21.45,21.95,3
"76",21.75,21.55,3
"77",22,21.25,3
"78",22.25,21,3
"79",22.5,20.7,3
"80",22.65,20.35,3
"81",22.75,20.05,3
"82",22.9,19.65,3
"83",23,19.35,3
"84",23.1,19,3
"85",23.15,18.65,3
"86",23.2,18.25,3
"87",23.2,18.05,3
"88",23.2,17.8,3
"89",23.1,17.45,3
"90",23.05,17.15,3
"91",22.9,16.9,3
"92",22.85,16.6,3
"93",22.7,16.4,3
"94",22.6,16.2,3
"95",22.55,16.05,3
"96",22.4,15.95,3
"97",22.35,15.8,3
"98",22.2,15.65,3
"99",22.15,15.55,3
"100",22,15.4,3
"101",21.9,15.3,3
"102",21.85,15.25,3
"103",21.75,15.15,3
"104",21.65,15.05,3
"105",21.55,15,3
"106",21.5,14.9,3
"107",19.35,31.65,1
"108",20.35,31.45,1
"109",21.35,31.1,1
"110",22.25,30.9,1
"111",23.2,30.45,1
"112",23.95,30.05,1
"113",24.9,29.65,1
"114",25.6,29.05,1
"115",26.35,28.5,1
"116",27.15,27.9,1
